,city,lon,lat
510,Salalah,54.0924,17.0151
511,Westport,-73.3579,41.1415
512,Rabo de Peixe,-25.5833,37.8
513,Vacha,42.7706,55.8008
514,Hofn,-15.2082,64.2539
515,Ust-Tsilma,52.1498,65.441
516,Evensk,159.2333,61.95
517,Kasangulu,15.1708,-4.5911
518,Smirnykh,142.8333,49.75
519,Camacupa,17.4833,-12.0167
520,Kargil,76.1,34.5667
521,Tanout,8.8879,14.9709
522,Mil'kovo,158.6167,54.7167
523,Opuwo,13.84,-18.0607
524,Port Moresby,147.1797,-9.4431
525,Mana,-53.7767,5.6592
526,Khanbari,87.2039,27.3747
527,Itaituba,-55.9836,-4.2761
528,Corumbá,-57.6533,-19.0092
529,Gunjur,-16.7339,13.2019
530,Cockburn Town,-71.1419,21.4612
531,Bacnotan,120.3525,16.7222
532,Qaqortoq,-46.0333,60.7167
533,Boa Vista,-60.6733,2.8197
534,Shirokiy,129.523,49.758
535,Eravur,81.6095,7.7733
536,Novobirilyussy,90.6661,56.9514
537,Yenagoa,6.2642,4.9247
538,Strezhevoy,77.5889,60.7333
539,Hambantota,81.1185,6.1241
540,Guiratinga,-53.7583,-16.3494
541,Ashquelon,34.5715,31.6693
542,Omboué,9.2618,-1.5746
543,Tortosa,0.5216,40.8125
544,Port Hardy,-127.4199,50.6996
545,Soubre,-6.6083,5.7856
546,San Buenaventura,-101.5333,27.0833
547,Departamento de Maldonado,-54.9167,-34.6667
548,Gewanē,40.6453,10.1664
549,Say,2.3689,13.1007
550,Nizwá,57.5333,22.9333
551,St. George's,-61.7485,12.0564
552,Kīhei,-156.4656,20.785
553,Kavaratti,72.642,10.5669
554,Mandalgovi,106.2708,45.7625
555,Sinnamary,-52.95,5.3833
556,Sirte,16.5887,31.2089
557,Tandaltī,31.8667,13.0167
558,Awjilah,21.2869,29.1081
559,Buraidah,43.975,26.326
560,Dordrecht,4.6736,51.81
561,Ojinaga,-104.4167,29.5667
562,Villarrobledo,-2.6012,39.2699
563,Cherdakly,48.845,54.3594
564,Ballina,153.5667,-28.8667
565,Yermakovskoye,92.4003,53.2831
566,Quatre Cocos,57.7625,-20.2078
567,Mangaratiba,-44.0406,-22.9597
568,Lovington,-103.3485,32.944
569,Sorong,131.25,-0.8833
570,Dullewala,71.4362,31.8359
571,Conde,-34.9075,-7.2597
572,Rovaniemi,25.7167,66.5
573,Laas,10.7002,46.6166
574,Tessalit,1.0114,20.1986
